ShipmentID,ShipDate,Origin,Destination,Route,Distance_km,Weight_tons,Mode,Carrier,BaseCost,FuelCost,OtherCost,TotalCost,Cost_per_TonKm,Fuel_Percentage,FuelPrice
2682,04-01-2024,Mumbai,Pune,Mumbai-Pune,1688,14,Rail,IndigoCargo,35448,8862,959,45269,1.915580569,19.5763105,96.03
4674,05-01-2024,Bangalore,Chennai,Bangalore-Chennai,2498,30,Road,SpiceJetCargo,149880,52458,6208,208546,2.782839605,25.15416263,96.03
3306,05-01-2024,Pune,Delhi,Pune-Delhi,2014,6,Rail,IndigoCargo,18126,4531,431,23088,1.910625621,19.62491337,96.03
3264,05-01-2024,Hyderabad,Mumbai,Hyderabad-Mumbai,393,28,Rail,IndigoCargo,16506,4126,1191,21823,1.983187932,18.90665811,96.03
1166,05-01-2024,Ahmedabad,Mumbai,Ahmedabad-Mumbai,1425,10,Rail,IndianRail,21375,5343,1189,27907,1.958385965,19.14573405,96.03
4185,05-01-2024,Delhi,Chennai,Delhi-Chennai,2301,5,Rail,BlueDart,17257,4314,1114,22685,1.971751412,19.01697157,96.03
159,05-01-2024,Pune,Chennai,Pune-Chennai,2075,9,Rail,DHL,28012,7003,1504,36519,1.955502008,19.17631918,96.03
4859,05-01-2024,Hyderabad,Bangalore,Hyderabad-Bangalore,1710,17,Road,VRLLogistics,58140,20349,2865,81354,2.798555212,25.01290656,96.03
3755,05-01-2024,Chennai,Kolkata,Chennai-Kolkata,2108,13,Air,BlueDart,109616,49327,3637,162580,5.932710553,30.34014024,96.03
1342,06-01-2024,Chennai,Bangalore,Chennai-Bangalore,1033,16,Rail,BlueDart,24792,6198,739,31729,1.919712004,19.53418009,96.03
4824,06-01-2024,Hyderabad,Delhi,Hyderabad-Delhi,1452,18,Road,BlueDart,52272,18295,2104,72671,2.780494337,25.17510424,96.03
4307,06-01-2024,Ahmedabad,Chennai,Ahmedabad-Chennai,1379,13,Air,VRLLogistics,71708,32268,2731,106707,5.952306577,30.23981557,96.03
4676,06-01-2024,Bangalore,Ahmedabad,Bangalore-Ahmedabad,1780,9,Road,BlueDart,32040,11214,851,44105,2.753121099,25.4256887,96.03
940,06-01-2024,Hyderabad,Kolkata,Hyderabad-Kolkata,1197,5,Rail,IndianRail,8977,2244,687,11908,1.989640769,18.8444743,96.03
3268,06-01-2024,Delhi,Hyderabad,Delhi-Hyderabad,1172,25,Air,DHL,117200,52740,8780,178720,6.099658703,29.50984781,96.03
703,06-01-2024,Bangalore,Kolkata,Bangalore-Kolkata,1136,7,Road,IndianRail,15904,5566,654,22124,2.782193159,25.15819924,96.03
878,06-01-2024,Delhi,Hyderabad,Delhi-Hyderabad,1029,17,Air,IndigoCargo,69972,31487,2371,103830,5.935517064,30.32553212,96.03
1086,06-01-2024,Ahmedabad,Chennai,Ahmedabad-Chennai,1491,15,Road,DHL,44730,15655,1395,61780,2.762351889,25.33991583,96.03
2826,06-01-2024,Ahmedabad,Chennai,Ahmedabad-Chennai,445,18,Air,IndigoCargo,32040,14418,2358,48816,6.094382022,29.53539823,96.03
841,06-01-2024,Bangalore,Pune,Bangalore-Pune,2446,21,Road,IndigoCargo,102732,35956,4220,142908,2.782151618,25.16024295,96.03
1059,07-01-2024,Chennai,Delhi,Chennai-Delhi,672,26,Rail,DHL,26208,6552,1548,34308,1.963598901,19.09758657,96.03
689,07-01-2024,Ahmedabad,Kolkata,Ahmedabad-Kolkata,875,16,Rail,IndigoCargo,21000,5250,1245,27495,1.963928571,19.0943808,96.03
4480,07-01-2024,Delhi,Chennai,Delhi-Chennai,1192,30,Road,BlueDart,71520,25032,2345,98897,2.765576063,25.31118234,96.03
2714,07-01-2024,Kolkata,Delhi,Kolkata-Delhi,1196,16,Rail,DHL,28704,7176,1704,37584,1.964046823,19.09323116,96.03
4455,07-01-2024,Hyderabad,Pune,Hyderabad-Pune,1742,16,Rail,DHL,41808,10452,1356,53616,1.923650976,19.49418084,96.03
97,07-01-2024,Hyderabad,Chennai,Hyderabad-Chennai,1983,7,Rail,BlueDart,20821,5205,794,26820,1.932137454,19.40715884,96.03
4100,07-01-2024,Kolkata,Chennai,Kolkata-Chennai,2239,26,Road,SpiceJetCargo,116428,40749,7213,164390,2.82389116,24.78800414,96.03
347,07-01-2024,Bangalore,Delhi,Bangalore-Delhi,936,6,Rail,SpiceJetCargo,8424,2106,588,11118,1.979700855,18.9422558,96.03
2819,08-01-2024,Bangalore,Ahmedabad,Bangalore-Ahmedabad,698,24,Road,SpiceJetCargo,33504,11726,748,45978,2.744627507,25.50350167,97.78
4045,08-01-2024,Chennai,Mumbai,Chennai-Mumbai,1621,29,Air,IndianRail,188036,84616,5123,277775,5.908974877,30.46206462,97.78
75,08-01-2024,Delhi,Pune,Delhi-Pune,1152,28,Air,VRLLogistics,129024,58060,6096,193180,5.988963294,30.0548711,97.78
4106,08-01-2024,Hyderabad,Kolkata,Hyderabad-Kolkata,2028,25,Rail,BlueDart,76050,19012,3562,98624,1.945246548,19.27725503,97.78
2414,08-01-2024,Bangalore,Kolkata,Bangalore-Kolkata,1803,15,Air,DHL,108180,48681,3949,160810,5.946015899,30.27237112,97.78
251,08-01-2024,Kolkata,Bangalore,Kolkata-Bangalore,2487,9,Rail,IndigoCargo,33574,8393,1170,43137,1.927221552,19.45661497,97.78
4916,08-01-2024,Bangalore,Mumbai,Bangalore-Mumbai,1339,5,Air,IndianRail,26780,12051,1566,40397,6.0339059,29.83142313,97.78
369,08-01-2024,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1366,8,Road,IndianRail,21856,7649,1219,30724,2.811493411,24.89584689,97.78
4452,08-01-2024,Kolkata,Chennai,Kolkata-Chennai,2432,12,Air,DHL,116736,52531,7451,176718,6.055304276,29.72589097,97.78
3567,08-01-2024,Pune,Hyderabad,Pune-Hyderabad,2248,9,Rail,SpiceJetCargo,30348,7587,1605,39540,1.954329775,19.18816388,97.78
2764,09-01-2024,Bangalore,Kolkata,Bangalore-Kolkata,2002,23,Road,SpiceJetCargo,92092,32232,5359,129683,2.816379273,24.85445278,97.78
4542,09-01-2024,Kolkata,Hyderabad,Kolkata-Hyderabad,1467,14,Air,VRLLogistics,82152,36968,2877,121997,5.940062323,30.30238448,97.78
854,09-01-2024,Chennai,Ahmedabad,Chennai-Ahmedabad,1029,16,Rail,BlueDart,24696,6174,1266,32136,1.951895044,19.21209858,97.78
1796,09-01-2024,Mumbai,Chennai,Mumbai-Chennai,1261,7,Rail,VRLLogistics,13240,3310,466,17016,1.927721763,19.45228021,97.78
567,09-01-2024,Hyderabad,Chennai,Hyderabad-Chennai,656,17,Rail,BlueDart,16728,4182,408,21318,1.911585366,19.61722488,97.78
4996,09-01-2024,Kolkata,Chennai,Kolkata-Chennai,353,15,Road,VRLLogistics,10590,3706,734,15030,2.838526912,24.65735196,97.78
2653,09-01-2024,Pune,Hyderabad,Pune-Hyderabad,1585,10,Road,SpiceJetCargo,31700,11095,1197,43992,2.775520505,25.22049464,97.78
3671,09-01-2024,Hyderabad,Bangalore,Hyderabad-Bangalore,1074,7,Air,IndianRail,30072,13532,613,44217,5.881484437,30.60361399,97.78
809,09-01-2024,Mumbai,Bangalore,Mumbai-Bangalore,1851,29,Rail,SpiceJetCargo,80518,20129,1656,102303,1.905829095,19.67586483,97.78
2673,09-01-2024,Hyderabad,Mumbai,Hyderabad-Mumbai,1442,12,Road,DHL,34608,12112,1330,48050,2.776814609,25.20707596,97.78
1487,10-01-2024,Ahmedabad,Bangalore,Ahmedabad-Bangalore,849,23,Road,DHL,39054,13668,1376,54098,2.770420443,25.26525934,97.78
1157,10-01-2024,Bangalore,Pune,Bangalore-Pune,669,5,Air,BlueDart,13380,6021,1004,20405,6.100149477,29.50747366,97.78
4246,10-01-2024,Mumbai,Chennai,Mumbai-Chennai,2499,28,Rail,IndigoCargo,104958,26239,4083,135280,1.933344766,19.39606742,97.78
522,10-01-2024,Ahmedabad,Delhi,Ahmedabad-Delhi,2394,6,Rail,SpiceJetCargo,21546,5386,1050,27982,1.948064606,19.24808806,97.78
2219,10-01-2024,Delhi,Bangalore,Delhi-Bangalore,444,25,Air,BlueDart,44400,19980,1954,66334,5.976036036,30.1203003,97.78
3794,11-01-2024,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,856,28,Road,IndianRail,47936,16777,3096,67809,2.829147196,24.74155348,97.78
307,11-01-2024,Bangalore,Mumbai,Bangalore-Mumbai,802,12,Rail,DHL,14436,3609,702,18747,1.947942643,19.25108017,97.78
3832,11-01-2024,Delhi,Kolkata,Delhi-Kolkata,1449,8,Air,BlueDart,46368,20865,3671,70904,6.11663216,29.42711272,97.78
1025,11-01-2024,Ahmedabad,Pune,Ahmedabad-Pune,413,25,Rail,VRLLogistics,15487,3871,483,19841,1.921646489,19.51010534,97.78
2275,11-01-2024,Bangalore,Pune,Bangalore-Pune,838,13,Air,IndigoCargo,43576,19609,3296,66481,6.102533505,29.49564537,97.78
1058,11-01-2024,Ahmedabad,Kolkata,Ahmedabad-Kolkata,1135,13,Air,BlueDart,59020,26559,3648,89227,6.047238224,29.76565389,97.78
1169,11-01-2024,Mumbai,Bangalore,Mumbai-Bangalore,462,11,Rail,SpiceJetCargo,7623,1905,185,9713,1.911255411,19.61288994,97.78
1259,11-01-2024,Mumbai,Delhi,Mumbai-Delhi,1493,13,Air,BlueDart,77636,34936,3462,116034,5.978360554,30.1084165,97.78
2818,11-01-2024,Kolkata,Mumbai,Kolkata-Mumbai,434,10,Air,IndianRail,17360,7812,945,26117,6.017741935,29.91155186,97.78
2760,11-01-2024,Chennai,Pune,Chennai-Pune,601,30,Air,IndigoCargo,72120,32454,3012,107586,5.967054908,30.16563493,97.78
3296,11-01-2024,Hyderabad,Pune,Hyderabad-Pune,2119,26,Rail,BlueDart,82641,20660,6254,109555,1.988510546,18.8581078,97.78
59,11-01-2024,Chennai,Delhi,Chennai-Delhi,823,16,Air,VRLLogistics,52672,23702,2739,79113,6.007973876,29.95967793,97.78
4688,12-01-2024,Pune,Chennai,Pune-Chennai,402,18,Road,BlueDart,14472,5065,1052,20589,2.845356551,24.60051484,97.78
4162,12-01-2024,Ahmedabad,Mumbai,Ahmedabad-Mumbai,305,20,Air,IndigoCargo,24400,10980,1772,37152,6.090491803,29.55426357,97.78
2594,12-01-2024,Delhi,Chennai,Delhi-Chennai,930,28,Road,DHL,52080,18228,2531,72839,2.797196621,25.02505526,97.78
3875,12-01-2024,Mumbai,Ahmedabad,Mumbai-Ahmedabad,1024,17,Rail,VRLLogistics,26112,6528,1756,34396,1.975873162,18.97895104,97.78
1561,12-01-2024,Chennai,Ahmedabad,Chennai-Ahmedabad,1429,8,Road,VRLLogistics,22864,8002,1460,32326,2.827676697,24.75406793,97.78
1393,12-01-2024,Pune,Delhi,Pune-Delhi,551,5,Air,IndigoCargo,11020,4959,862,16841,6.112885662,29.44599489,97.78
3095,12-01-2024,Pune,Ahmedabad,Pune-Ahmedabad,2227,26,Road,DHL,115804,40531,5928,162263,2.802372975,24.97858415,97.78
1332,12-01-2024,Pune,Hyderabad,Pune-Hyderabad,933,16,Road,IndianRail,29856,10449,2346,42651,2.857114148,24.49883942,97.78
1812,12-01-2024,Kolkata,Bangalore,Kolkata-Bangalore,1144,5,Rail,IndianRail,8580,2145,622,11347,1.983741259,18.90367498,97.78
1017,12-01-2024,Chennai,Hyderabad,Chennai-Hyderabad,1642,6,Rail,IndianRail,14778,3694,1090,19562,1.985586683,18.88354974,97.78
2754,12-01-2024,Pune,Ahmedabad,Pune-Ahmedabad,2336,16,Air,SpiceJetCargo,149504,67276,7268,224048,5.994434932,30.02749411,97.78
3649,12-01-2024,Mumbai,Ahmedabad,Mumbai-Ahmedabad,2007,20,Air,BlueDart,160560,72252,6939,239751,5.972869955,30.13626638,97.78
3311,13-01-2024,Bangalore,Delhi,Bangalore-Delhi,2089,10,Air,DHL,83560,37602,6605,127767,6.11617999,29.43013454,97.78
4221,13-01-2024,Hyderabad,Mumbai,Hyderabad-Mumbai,1883,9,Air,SpiceJetCargo,67788,30504,1561,99853,5.892075294,30.54890689,97.78
2966,13-01-2024,Pune,Mumbai,Pune-Mumbai,2419,8,Road,SpiceJetCargo,38704,13546,2281,54531,2.817848284,24.84091618,97.78
1326,13-01-2024,Chennai,Ahmedabad,Chennai-Ahmedabad,1878,20,Rail,SpiceJetCargo,56340,14085,1140,71565,1.905351438,19.68140851,97.78
2037,13-01-2024,Hyderabad,Pune,Hyderabad-Pune,441,16,Air,SpiceJetCargo,28224,12700,1012,41936,5.943310658,30.28424266,97.78
2716,13-01-2024,Kolkata,Pune,Kolkata-Pune,417,28,Rail,VRLLogistics,17514,4378,765,22657,1.94047619,19.32294655,97.78
4019,13-01-2024,Ahmedabad,Chennai,Ahmedabad-Chennai,484,11,Air,VRLLogistics,21296,9583,799,31678,5.950037566,30.25127849,97.78
2888,14-01-2024,Delhi,Hyderabad,Delhi-Hyderabad,1254,8,Rail,DHL,15048,3762,1083,19893,1.982954545,18.91117479,97.78
755,14-01-2024,Kolkata,Mumbai,Kolkata-Mumbai,2134,27,Rail,IndigoCargo,86427,21606,3321,111354,1.932625221,19.40298507,97.78
900,14-01-2024,Ahmedabad,Chennai,Ahmedabad-Chennai,1885,22,Rail,BlueDart,62205,15551,3816,81572,1.967012298,19.06413966,97.78
286,14-01-2024,Mumbai,Delhi,Mumbai-Delhi,1293,23,Rail,SpiceJetCargo,44608,11152,3434,59194,1.990450251,18.83974727,97.78
1417,14-01-2024,Mumbai,Pune,Mumbai-Pune,592,22,Rail,VRLLogistics,19536,4884,937,25357,1.946944103,19.26095358,97.78
2313,14-01-2024,Hyderabad,Delhi,Hyderabad-Delhi,2199,30,Rail,IndianRail,98955,24738,7688,131381,1.991526451,18.82920666,97.78
1632,14-01-2024,Mumbai,Pune,Mumbai-Pune,1372,7,Air,BlueDart,38416,17287,1566,57269,5.963036235,30.18561525,97.78
4747,14-01-2024,Delhi,Mumbai,Delhi-Mumbai,1281,9,Rail,DHL,17293,4323,629,22245,1.929482175,19.43358058,97.78
3684,14-01-2024,Chennai,Kolkata,Chennai-Kolkata,997,24,Air,VRLLogistics,95712,43070,2662,141444,5.911233701,30.45021351,97.78
6,14-01-2024,Delhi,Hyderabad,Delhi-Hyderabad,2388,12,Air,BlueDart,114624,51580,4176,170380,5.945700726,30.27350628,97.78
3157,14-01-2024,Pune,Chennai,Pune-Chennai,691,15,Rail,IndigoCargo,15547,3886,328,19761,1.906512301,19.66499671,97.78
3394,15-01-2024,Ahmedabad,Kolkata,Ahmedabad-Kolkata,1191,5,Road,DHL,11910,4168,789,16867,2.83240974,24.71097409,99.67
1194,15-01-2024,Bangalore,Chennai,Bangalore-Chennai,1386,15,Road,IndigoCargo,41580,14552,3300,59432,2.858682059,24.48512586,99.67
1319,15-01-2024,Delhi,Bangalore,Delhi-Bangalore,1867,11,Air,VRLLogistics,82148,36966,4706,123820,6.029118177,29.85462769,99.67
1030,15-01-2024,Pune,Delhi,Pune-Delhi,558,10,Rail,SpiceJetCargo,8370,2092,406,10868,1.947670251,19.24917188,99.67
632,15-01-2024,Kolkata,Ahmedabad,Kolkata-Ahmedabad,398,14,Rail,BlueDart,8358,2089,575,11022,1.97810481,18.95300308,99.67
4117,15-01-2024,Kolkata,Pune,Kolkata-Pune,1295,8,Road,VRLLogistics,20720,7251,627,28598,2.76042471,25.35491992,99.67
190,15-01-2024,Bangalore,Hyderabad,Bangalore-Hyderabad,1925,5,Rail,SpiceJetCargo,14437,3609,396,18442,1.916051948,19.56946101,99.67
4390,15-01-2024,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,2354,28,Rail,VRLLogistics,98868,24717,7473,131058,1.988378444,18.85958888,99.67
3696,15-01-2024,Bangalore,Delhi,Bangalore-Delhi,1645,29,Road,BlueDart,95410,33393,6386,135189,2.833853894,24.70097419,99.67
1655,15-01-2024,Pune,Mumbai,Pune-Mumbai,2196,8,Air,DHL,70272,31622,4061,105955,6.031136157,29.84474541,99.67
2572,15-01-2024,Pune,Bangalore,Pune-Bangalore,643,17,Air,IndigoCargo,43724,19675,2079,65478,5.990119843,30.04826048,99.67
1555,16-01-2024,Pune,Chennai,Pune-Chennai,1397,20,Rail,VRLLogistics,41910,10477,2670,55057,1.970544023,19.02936956,99.67
4462,16-01-2024,Ahmedabad,Pune,Ahmedabad-Pune,1177,19,Road,IndigoCargo,44726,15654,2293,62673,2.802530966,24.97726294,99.67
1152,16-01-2024,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1191,12,Air,VRLLogistics,57168,25725,3074,85967,6.015043381,29.92427327,99.67
4349,16-01-2024,Mumbai,Ahmedabad,Mumbai-Ahmedabad,486,16,Air,IndigoCargo,31104,13996,1065,46165,5.936856996,30.31733998,99.67
2292,16-01-2024,Mumbai,Kolkata,Mumbai-Kolkata,1885,12,Rail,IndigoCargo,33930,8482,1605,44017,1.945932803,19.26982757,99.67
3159,16-01-2024,Bangalore,Ahmedabad,Bangalore-Ahmedabad,609,5,Air,DHL,12180,5481,394,18055,5.929392447,30.35724176,99.67
4197,16-01-2024,Mumbai,Hyderabad,Mumbai-Hyderabad,302,22,Rail,SpiceJetCargo,9966,2491,611,13068,1.966887417,19.06183043,99.67
1300,16-01-2024,Bangalore,Ahmedabad,Bangalore-Ahmedabad,624,18,Road,BlueDart,22464,7862,1354,31680,2.820512821,24.81691919,99.67
2107,16-01-2024,Kolkata,Ahmedabad,Kolkata-Ahmedabad,494,11,Road,SpiceJetCargo,10868,3803,625,15296,2.814869341,24.86270921,99.67
4026,17-01-2024,Pune,Ahmedabad,Pune-Ahmedabad,1319,16,Air,DHL,84416,37987,5828,128231,6.076146702,29.6238819,99.67
3184,17-01-2024,Chennai,Pune,Chennai-Pune,716,30,Air,VRLLogistics,85920,38664,5835,130419,6.071648045,29.64598716,99.67
1764,17-01-2024,Ahmedabad,Delhi,Ahmedabad-Delhi,2238,12,Rail,VRLLogistics,40284,10071,2752,53107,1.977472446,18.96360179,99.67
806,17-01-2024,Chennai,Bangalore,Chennai-Bangalore,2421,20,Air,DHL,193680,87156,10169,291005,6.010016522,29.95000086,99.67
4171,17-01-2024,Mumbai,Hyderabad,Mumbai-Hyderabad,2098,27,Air,SpiceJetCargo,226584,101962,14014,342560,6.047381986,29.76471275,99.67
2695,17-01-2024,Pune,Bangalore,Pune-Bangalore,882,15,Road,DHL,26460,9261,534,36255,2.740362812,25.54406289,99.67
3731,17-01-2024,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1878,24,Air,IndigoCargo,180288,81129,11445,272862,6.053913738,29.73261209,99.67
3660,17-01-2024,Hyderabad,Bangalore,Hyderabad-Bangalore,482,22,Rail,SpiceJetCargo,15906,3976,420,20302,1.914560543,19.58427741,99.67
4886,18-01-2024,Mumbai,Kolkata,Mumbai-Kolkata,2175,18,Rail,IndigoCargo,58725,14681,2761,76167,1.945517241,19.27475153,99.67
1847,18-01-2024,Bangalore,Mumbai,Bangalore-Mumbai,629,15,Rail,DHL,14152,3538,693,18383,1.948383678,19.24604254,99.67
958,18-01-2024,Pune,Delhi,Pune-Delhi,2000,25,Road,SpiceJetCargo,100000,35000,6269,141269,2.82538,24.77542844,99.67
3759,18-01-2024,Chennai,Bangalore,Chennai-Bangalore,2136,17,Rail,IndianRail,54468,13617,3787,71872,1.979290593,18.9461821,99.67
164,18-01-2024,Delhi,Mumbai,Delhi-Mumbai,919,8,Air,IndianRail,29408,13233,959,43600,5.930359086,30.35091743,99.67
2506,18-01-2024,Kolkata,Hyderabad,Kolkata-Hyderabad,622,17,Rail,SpiceJetCargo,15861,3965,485,20311,1.920843579,19.52144158,99.67
3352,18-01-2024,Pune,Mumbai,Pune-Mumbai,1561,8,Road,IndigoCargo,24976,8741,1061,34778,2.784913517,25.13370522,99.67
4347,19-01-2024,Kolkata,Ahmedabad,Kolkata-Ahmedabad,580,10,Road,IndianRail,11600,4059,253,15912,2.743448276,25.50904977,99.67
3183,19-01-2024,Pune,Mumbai,Pune-Mumbai,300,15,Air,SpiceJetCargo,18000,8100,637,26737,5.941555556,30.29509668,99.67
4228,19-01-2024,Mumbai,Pune,Mumbai-Pune,663,9,Rail,BlueDart,8950,2237,654,11841,1.984414279,18.89198547,99.67
4961,19-01-2024,Pune,Kolkata,Pune-Kolkata,634,16,Road,IndigoCargo,20288,7100,1583,28971,2.855973975,24.50726589,99.67
2450,19-01-2024,Hyderabad,Chennai,Hyderabad-Chennai,1732,18,Rail,IndianRail,46764,11691,1610,60065,1.926642289,19.46391409,99.67
829,19-01-2024,Delhi,Bangalore,Delhi-Bangalore,403,10,Air,IndigoCargo,16120,7254,494,23868,5.922580645,30.39215686,99.67
2256,19-01-2024,Pune,Chennai,Pune-Chennai,2369,19,Road,BlueDart,90022,31507,3813,125342,2.784697074,25.13682565,99.67
2471,19-01-2024,Kolkata,Delhi,Kolkata-Delhi,2311,14,Air,IndigoCargo,129416,58237,2857,190510,5.888298201,30.568999,99.67
422,19-01-2024,Chennai,Mumbai,Chennai-Mumbai,315,28,Rail,SpiceJetCargo,13230,3307,324,16861,1.911678005,19.61330882,99.67
4458,19-01-2024,Mumbai,Pune,Mumbai-Pune,1525,26,Air,IndigoCargo,158600,71370,9764,239734,6.046254729,29.77049563,99.67
4497,19-01-2024,Pune,Bangalore,Pune-Bangalore,2277,10,Air,IndigoCargo,91080,40986,4873,136939,6.014009662,29.93011487,99.67
4477,19-01-2024,Ahmedabad,Delhi,Ahmedabad-Delhi,565,26,Road,IndigoCargo,29380,10283,1210,40873,2.782368958,25.15841754,99.67
1068,19-01-2024,Ahmedabad,Delhi,Ahmedabad-Delhi,1126,13,Rail,SpiceJetCargo,21957,5489,846,28292,1.932777702,19.40124417,99.67
906,20-01-2024,Delhi,Mumbai,Delhi-Mumbai,2113,6,Road,IndianRail,25356,8874,1242,35472,2.797917653,25.01691475,99.67
2960,20-01-2024,Kolkata,Pune,Kolkata-Pune,458,10,Road,DHL,9160,3206,670,13036,2.84628821,24.59343357,99.67
3133,20-01-2024,Hyderabad,Bangalore,Hyderabad-Bangalore,1446,18,Road,SpiceJetCargo,52056,18219,2918,73193,2.812086983,24.89172462,99.67
1858,20-01-2024,Hyderabad,Pune,Hyderabad-Pune,1148,24,Rail,DHL,41328,10332,2161,53821,1.953433508,19.19696773,99.67
4863,20-01-2024,Kolkata,Mumbai,Kolkata-Mumbai,1657,27,Road,DHL,89478,31317,2207,123002,2.749323856,25.46056162,99.67
3841,20-01-2024,Chennai,Bangalore,Chennai-Bangalore,1792,5,Road,IndianRail,17920,6272,1216,25408,2.835714286,24.68513854,99.67
2514,20-01-2024,Ahmedabad,Pune,Ahmedabad-Pune,2191,26,Air,SpiceJetCargo,227864,102538,14264,344666,6.050380929,29.74996083,99.67
