ShipmentID,ShipDate,Origin,Destination,Route,Distance_km,Weight_tons,Mode,Carrier,BaseCost,FuelCost,OtherCost
76,2024-04-12,Chennai,Mumbai,Chennai-Mumbai,654,27,Rail,BlueDart,26487,6621,1376
77,2025-07-24,Ahmedabad,Mumbai,Ahmedabad-Mumbai,2020,12,Rail,SpiceJetCargo,36360,9090,2565
78,2024-12-20,Ahmedabad,Pune,Ahmedabad-Pune,1976,27,Rail,SpiceJetCargo,80028,20007,5694
79,2025-07-30,Pune,Hyderabad,Pune-Hyderabad,1580,13,Air,SpiceJetCargo,82160,36972,6042
80,2025-07-16,Mumbai,Kolkata,Mumbai-Kolkata,1150,27,Road,SpiceJetCargo,62100,21735,1777
81,2024-01-02,Chennai,Bangalore,Chennai-Bangalore,1835,21,Air,SpiceJetCargo,154140,69363,6519
82,2024-07-27,Kolkata,Ahmedabad,Kolkata-Ahmedabad,2323,9,Road,BlueDart,41814,14634,3111
83,2024-07-25,Pune,Kolkata,Pune-Kolkata,851,8,Rail,VRLLogistics,10212,2553,216
84,2024-05-05,Bangalore,Kolkata,Bangalore-Kolkata,1711,19,Road,IndianRail,65018,22756,4127
85,2024-03-09,Hyderabad,Kolkata,Hyderabad-Kolkata,1685,16,Road,SpiceJetCargo,53920,18872,1946
86,2025-01-13,Pune,Delhi,Pune-Delhi,854,12,Air,IndigoCargo,40992,18446,1569
87,2025-04-05,Delhi,Hyderabad,Delhi-Hyderabad,983,5,Rail,IndigoCargo,7372,1843,389
88,2025-07-02,Delhi,Kolkata,Delhi-Kolkata,405,11,Road,SpiceJetCargo,8910,3118,627
89,2024-04-18,Kolkata,Chennai,Kolkata-Chennai,2287,15,Road,BlueDart,68610,24013,2381
90,2024-06-19,Ahmedabad,Bangalore,Ahmedabad-Bangalore,2085,25,Rail,DHL,78187,19546,5014
91,2024-12-30,Bangalore,Ahmedabad,Bangalore-Ahmedabad,822,11,Road,DHL,18084,6329,735
92,2025-04-02,Delhi,Pune,Delhi-Pune,1015,10,Air,DHL,40600,18270,2784
93,2025-04-28,Chennai,Bangalore,Chennai-Bangalore,1545,20,Road,BlueDart,61800,21630,2657
94,2025-06-18,Mumbai,Hyderabad,Mumbai-Hyderabad,1140,27,Rail,IndianRail,46170,11542,2127
95,2024-05-26,Chennai,Pune,Chennai-Pune,800,5,Rail,SpiceJetCargo,6000,1500,327
96,2024-07-29,Mumbai,Pune,Mumbai-Pune,1974,6,Rail,VRLLogistics,17766,4441,588
97,2024-01-07,Hyderabad,Chennai,Hyderabad-Chennai,1983,7,Rail,BlueDart,20821,5205,794
98,2024-12-28,Ahmedabad,Chennai,Ahmedabad-Chennai,1463,20,Rail,IndigoCargo,43890,10972,2234
99,2025-04-15,Chennai,Delhi,Chennai-Delhi,1359,7,Rail,IndianRail,14269,3567,1036
100,2025-02-17,Chennai,Ahmedabad,Chennai-Ahmedabad,2286,11,Rail,IndianRail,37719,9429,1121
101,2024-08-17,Mumbai,Chennai,Mumbai-Chennai,2460,9,Air,IndigoCargo,88560,39852,5817
102,2025-07-28,Pune,Bangalore,Pune-Bangalore,1469,28,Air,SpiceJetCargo,164528,74037,7995
103,2025-07-31,Kolkata,Hyderabad,Kolkata-Hyderabad,1351,22,Rail,DHL,44583,11145,2614
104,2024-04-14,Hyderabad,Bangalore,Hyderabad-Bangalore,2465,8,Rail,DHL,29580,7395,2214
105,2024-12-27,Chennai,Ahmedabad,Chennai-Ahmedabad,379,27,Rail,IndigoCargo,15349,3837,975
106,2024-04-14,Mumbai,Bangalore,Mumbai-Bangalore,859,14,Rail,DHL,18039,4509,887
107,2025-01-29,Mumbai,Hyderabad,Mumbai-Hyderabad,977,26,Road,DHL,50804,17781,1623
108,2024-09-24,Pune,Ahmedabad,Pune-Ahmedabad,1333,10,Air,BlueDart,53320,23994,3692
109,2024-09-15,Chennai,Ahmedabad,Chennai-Ahmedabad,1066,21,Road,IndianRail,44772,15670,2807
110,2025-04-15,Mumbai,Chennai,Mumbai-Chennai,1984,30,Road,VRLLogistics,119040,41664,2584
111,2024-09-09,Mumbai,Ahmedabad,Mumbai-Ahmedabad,2377,17,Road,DHL,80818,28286,4800
112,2025-03-26,Hyderabad,Delhi,Hyderabad-Delhi,1005,21,Air,SpiceJetCargo,84420,37989,4487
113,2024-09-12,Delhi,Bangalore,Delhi-Bangalore,1839,29,Road,VRLLogistics,106662,37331,2647
114,2024-05-13,Delhi,Bangalore,Delhi-Bangalore,1884,26,Rail,SpiceJetCargo,73476,18369,3002
115,2024-07-07,Ahmedabad,Chennai,Ahmedabad-Chennai,1079,8,Air,IndigoCargo,34528,15537,2159
116,2025-03-18,Bangalore,Delhi,Bangalore-Delhi,1431,24,Rail,IndigoCargo,51516,12879,1979
117,2024-02-28,Chennai,Kolkata,Chennai-Kolkata,605,29,Air,BlueDart,70180,31581,4094
118,2025-02-10,Chennai,Kolkata,Chennai-Kolkata,2387,17,Rail,IndianRail,60868,15217,2203
119,2025-03-06,Pune,Ahmedabad,Pune-Ahmedabad,1292,7,Road,SpiceJetCargo,18088,6330,378
120,2024-12-03,Kolkata,Bangalore,Kolkata-Bangalore,832,21,Rail,VRLLogistics,26208,6552,1336
121,2024-10-05,Chennai,Hyderabad,Chennai-Hyderabad,346,30,Road,IndianRail,20760,7265,1556
122,2025-03-03,Delhi,Pune,Delhi-Pune,791,12,Road,DHL,18984,6644,921
123,2024-04-09,Kolkata,Pune,Kolkata-Pune,673,12,Road,SpiceJetCargo,16152,5653,1126
124,2024-08-26,Mumbai,Chennai,Mumbai-Chennai,1542,24,Road,BlueDart,74016,25905,3560
125,2024-09-20,Chennai,Bangalore,Chennai-Bangalore,1663,21,Rail,SpiceJetCargo,52384,13096,1284
126,2025-06-30,Hyderabad,Kolkata,Hyderabad-Kolkata,1317,6,Air,IndigoCargo,31608,14223,2304
127,2024-04-15,Delhi,Bangalore,Delhi-Bangalore,1626,25,Air,VRLLogistics,162600,73170,9830
128,2024-10-12,Ahmedabad,Mumbai,Ahmedabad-Mumbai,855,12,Air,DHL,41040,18468,2087
129,2024-09-15,Pune,Delhi,Pune-Delhi,853,27,Road,DHL,46062,16121,2752
130,2024-01-31,Mumbai,Bangalore,Mumbai-Bangalore,428,6,Road,IndigoCargo,5136,1797,259
131,2024-09-25,Chennai,Kolkata,Chennai-Kolkata,2442,19,Rail,BlueDart,69597,17399,2134
132,2024-06-23,Kolkata,Delhi,Kolkata-Delhi,856,6,Road,IndianRail,10272,3595,254
133,2024-04-03,Delhi,Chennai,Delhi-Chennai,1044,24,Air,IndigoCargo,100224,45100,4622
134,2025-03-17,Chennai,Hyderabad,Chennai-Hyderabad,2128,22,Road,VRLLogistics,93632,32771,2413
135,2025-02-10,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1260,20,Air,VRLLogistics,100800,45360,4882
136,2024-10-31,Pune,Delhi,Pune-Delhi,1847,13,Road,SpiceJetCargo,48022,16807,2742
137,2024-03-31,Bangalore,Mumbai,Bangalore-Mumbai,2409,23,Rail,VRLLogistics,83110,20777,4054
138,2024-11-03,Pune,Delhi,Pune-Delhi,1772,29,Air,IndianRail,205552,92498,8873
139,2025-07-23,Chennai,Delhi,Chennai-Delhi,1768,13,Road,DHL,45968,16088,3467
140,2025-04-01,Hyderabad,Pune,Hyderabad-Pune,436,11,Air,IndigoCargo,19184,8632,1530
141,2024-09-14,Bangalore,Pune,Bangalore-Pune,1696,13,Rail,BlueDart,33072,8268,2082
142,2025-07-31,Bangalore,Kolkata,Bangalore-Kolkata,600,19,Air,SpiceJetCargo,45600,20520,3348
143,2024-03-19,Hyderabad,Delhi,Hyderabad-Delhi,1083,9,Road,DHL,19494,6822,911
144,2024-08-16,Bangalore,Hyderabad,Bangalore-Hyderabad,2041,7,Rail,SpiceJetCargo,21430,5357,1510
145,2025-04-29,Ahmedabad,Bangalore,Ahmedabad-Bangalore,2222,16,Rail,BlueDart,53328,13332,2941
146,2025-07-18,Pune,Mumbai,Pune-Mumbai,943,25,Road,BlueDart,47150,16502,2763
147,2025-02-17,Bangalore,Kolkata,Bangalore-Kolkata,1498,7,Road,SpiceJetCargo,20972,7340,1416
148,2025-01-22,Hyderabad,Bangalore,Hyderabad-Bangalore,1541,10,Rail,VRLLogistics,23115,5778,554
149,2024-06-11,Ahmedabad,Bangalore,Ahmedabad-Bangalore,1015,5,Road,DHL,10150,3552,322
150,2024-12-10,Hyderabad,Mumbai,Hyderabad-Mumbai,2117,23,Air,VRLLogistics,194764,87643,14711
151,2024-11-25,Pune,Delhi,Pune-Delhi,885,19,Rail,VRLLogistics,25222,6305,643
152,2024-10-04,Mumbai,Kolkata,Mumbai-Kolkata,352,23,Rail,IndigoCargo,12144,3036,447
153,2025-05-02,Delhi,Chennai,Delhi-Chennai,1029,20,Road,SpiceJetCargo,41160,14405,1129
154,2024-09-12,Mumbai,Pune,Mumbai-Pune,1966,18,Road,VRLLogistics,70776,24771,3752
155,2024-09-03,Bangalore,Pune,Bangalore-Pune,913,7,Air,DHL,25564,11503,1863
156,2024-01-25,Delhi,Pune,Delhi-Pune,1061,14,Rail,IndianRail,22281,5570,1270
157,2025-03-03,Mumbai,Bangalore,Mumbai-Bangalore,1509,6,Air,BlueDart,36216,16297,2169
158,2025-07-24,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,747,17,Air,IndigoCargo,50796,22858,1599
159,2024-01-05,Pune,Chennai,Pune-Chennai,2075,9,Rail,DHL,28012,7003,1504
160,2024-02-21,Delhi,Ahmedabad,Delhi-Ahmedabad,1534,23,Road,BlueDart,70564,24697,4945
161,2024-07-02,Chennai,Delhi,Chennai-Delhi,1919,26,Road,IndigoCargo,99788,34925,3339
162,2024-06-18,Kolkata,Hyderabad,Kolkata-Hyderabad,1001,7,Road,BlueDart,14014,4904,687
163,2025-02-28,Delhi,Bangalore,Delhi-Bangalore,1226,23,Rail,DHL,42297,10574,2728
164,2024-01-18,Delhi,Mumbai,Delhi-Mumbai,919,8,Air,IndianRail,29408,13233,959
165,2025-07-06,Delhi,Ahmedabad,Delhi-Ahmedabad,1696,9,Road,IndigoCargo,30528,10684,2236
166,2025-01-21,Delhi,Mumbai,Delhi-Mumbai,1736,9,Air,BlueDart,62496,28123,1300
167,2025-03-12,Chennai,Kolkata,Chennai-Kolkata,1384,5,Rail,BlueDart,10380,2595,248
168,2024-08-13,Delhi,Pune,Delhi-Pune,1642,11,Air,DHL,72248,32511,3389
169,2024-10-31,Delhi,Kolkata,Delhi-Kolkata,310,10,Air,IndianRail,12400,5580,828
170,2024-11-28,Delhi,Bangalore,Delhi-Bangalore,1869,29,Road,IndigoCargo,108402,37940,2466
171,2024-06-05,Ahmedabad,Delhi,Ahmedabad-Delhi,792,9,Air,IndigoCargo,28512,12830,1025
172,2025-07-04,Mumbai,Bangalore,Mumbai-Bangalore,1984,30,Rail,BlueDart,89280,22320,5361
173,2024-10-10,Ahmedabad,Pune,Ahmedabad-Pune,856,24,Rail,BlueDart,30816,7704,683
174,2024-10-11,Delhi,Chennai,Delhi-Chennai,996,5,Rail,BlueDart,7470,1867,587
175,2025-05-20,Delhi,Ahmedabad,Delhi-Ahmedabad,1313,6,Rail,BlueDart,11817,2954,756
176,2025-04-08,Hyderabad,Pune,Hyderabad-Pune,2109,27,Road,VRLLogistics,113886,39860,8188
177,2025-02-01,Delhi,Ahmedabad,Delhi-Ahmedabad,2124,23,Road,BlueDart,97704,34196,5907
178,2024-08-29,Kolkata,Mumbai,Kolkata-Mumbai,1263,23,Air,SpiceJetCargo,116196,52288,5010
179,2025-01-04,Pune,Ahmedabad,Pune-Ahmedabad,1327,22,Air,SpiceJetCargo,116776,52549,4629
180,2024-11-08,Pune,Delhi,Pune-Delhi,1847,25,Air,DHL,184700,83115,5055
181,2025-01-03,Pune,Ahmedabad,Pune-Ahmedabad,2015,6,Road,BlueDart,24180,8463,1508
182,2024-09-04,Chennai,Bangalore,Chennai-Bangalore,390,14,Rail,DHL,8190,2047,524
183,2024-10-23,Bangalore,Hyderabad,Bangalore-Hyderabad,2007,12,Road,SpiceJetCargo,48168,16858,2556
184,2024-08-03,Kolkata,Mumbai,Kolkata-Mumbai,2335,8,Rail,VRLLogistics,28020,7005,2061
185,2024-05-24,Mumbai,Chennai,Mumbai-Chennai,458,19,Air,IndigoCargo,34808,15663,1393
186,2024-09-15,Mumbai,Hyderabad,Mumbai-Hyderabad,766,5,Road,DHL,7660,2681,460
187,2024-12-20,Bangalore,Chennai,Bangalore-Chennai,875,27,Air,IndigoCargo,94500,42525,4598
188,2025-04-06,Ahmedabad,Pune,Ahmedabad-Pune,351,27,Rail,IndigoCargo,14215,3553,863
189,2024-02-24,Kolkata,Chennai,Kolkata-Chennai,997,5,Rail,DHL,7477,1869,497
190,2024-01-15,Bangalore,Hyderabad,Bangalore-Hyderabad,1925,5,Rail,SpiceJetCargo,14437,3609,396
191,2024-09-03,Ahmedabad,Delhi,Ahmedabad-Delhi,2229,27,Road,BlueDart,120366,42128,8786
192,2024-05-13,Chennai,Hyderabad,Chennai-Hyderabad,1294,25,Air,IndianRail,129400,58230,7818
193,2025-02-10,Pune,Chennai,Pune-Chennai,1281,9,Rail,IndianRail,17293,4323,552
194,2024-09-25,Bangalore,Chennai,Bangalore-Chennai,2210,11,Road,VRLLogistics,48620,17017,1501
195,2025-04-16,Delhi,Hyderabad,Delhi-Hyderabad,303,28,Air,IndigoCargo,33936,15271,790
196,2024-01-01,Bangalore,Chennai,Bangalore-Chennai,1332,23,Air,DHL,122544,55144,9558
197,2025-06-02,Kolkata,Ahmedabad,Kolkata-Ahmedabad,1336,20,Air,VRLLogistics,106880,48096,5535
198,2024-06-10,Bangalore,Chennai,Bangalore-Chennai,1222,5,Air,IndigoCargo,24440,10998,938
199,2024-11-25,Pune,Bangalore,Pune-Bangalore,1978,6,Rail,IndigoCargo,17802,4450,922
200,2024-03-13,Mumbai,Chennai,Mumbai-Chennai,1727,16,Air,IndigoCargo,110528,49737,5226
201,2024-06-04,Chennai,Hyderabad,Chennai-Hyderabad,1751,5,Road,IndigoCargo,17510,6128,747
202,2024-01-06,Ahmedabad,Delhi,Ahmedabad-Delhi,510,5,Rail,VRLLogistics,3825,956,205
203,2024-11-17,Pune,Bangalore,Pune-Bangalore,336,12,Road,VRLLogistics,8064,2822,224
204,2024-04-29,Pune,Kolkata,Pune-Kolkata,390,15,Road,IndianRail,11700,4094,262
205,2024-08-15,Chennai,Kolkata,Chennai-Kolkata,916,15,Air,SpiceJetCargo,54960,24732,2775
206,2024-09-25,Bangalore,Chennai,Bangalore-Chennai,722,8,Air,IndianRail,23104,10396,693
207,2025-07-11,Kolkata,Chennai,Kolkata-Chennai,2042,26,Rail,BlueDart,79638,19909,2842
208,2025-02-23,Kolkata,Mumbai,Kolkata-Mumbai,1128,15,Rail,BlueDart,25380,6345,1066
209,2024-10-19,Mumbai,Chennai,Mumbai-Chennai,1619,15,Air,BlueDart,97140,43713,6692
210,2025-03-07,Bangalore,Mumbai,Bangalore-Mumbai,464,18,Rail,BlueDart,12528,3132,995
211,2025-02-11,Pune,Chennai,Pune-Chennai,1754,9,Road,SpiceJetCargo,31572,11050,2435
212,2025-04-03,Chennai,Bangalore,Chennai-Bangalore,1559,21,Rail,BlueDart,49108,12277,1490
213,2024-11-05,Chennai,Kolkata,Chennai-Kolkata,2231,10,Air,IndianRail,89240,40158,4355
214,2024-01-30,Ahmedabad,Delhi,Ahmedabad-Delhi,807,5,Road,VRLLogistics,8070,2824,226
215,2024-07-09,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,2361,21,Road,BlueDart,99162,34706,2524
216,2025-01-05,Chennai,Pune,Chennai-Pune,442,18,Rail,DHL,11934,2983,803
217,2024-05-23,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,2373,10,Air,IndianRail,94920,42714,5238
218,2024-03-11,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,1782,9,Air,IndigoCargo,64152,28868,4169
219,2025-03-14,Mumbai,Ahmedabad,Mumbai-Ahmedabad,828,15,Air,IndianRail,49680,22356,1035
220,2024-07-15,Ahmedabad,Chennai,Ahmedabad-Chennai,2109,27,Air,SpiceJetCargo,227772,102497,12081
221,2025-07-20,Bangalore,Hyderabad,Bangalore-Hyderabad,905,22,Air,IndianRail,79640,35838,3073
222,2025-01-24,Pune,Ahmedabad,Pune-Ahmedabad,2369,19,Rail,VRLLogistics,67516,16879,1717
223,2025-02-17,Pune,Ahmedabad,Pune-Ahmedabad,1999,21,Rail,IndigoCargo,62968,15742,4484
224,2025-03-02,Ahmedabad,Pune,Ahmedabad-Pune,1336,30,Road,IndianRail,80160,28056,4968
225,2024-12-06,Delhi,Mumbai,Delhi-Mumbai,361,16,Air,IndigoCargo,23104,10396,606
226,2025-04-26,Mumbai,Kolkata,Mumbai-Kolkata,1446,20,Rail,SpiceJetCargo,43380,10845,1668
227,2025-04-14,Mumbai,Pune,Mumbai-Pune,684,21,Road,IndigoCargo,28728,10054,963
228,2024-12-20,Hyderabad,Bangalore,Hyderabad-Bangalore,1473,29,Rail,DHL,64075,16018,3469
229,2025-06-16,Delhi,Ahmedabad,Delhi-Ahmedabad,2175,28,Road,BlueDart,121800,42630,8918
230,2025-06-01,Bangalore,Delhi,Bangalore-Delhi,1276,15,Rail,IndianRail,28710,7177,1979
231,2025-04-27,Pune,Delhi,Pune-Delhi,1747,9,Road,BlueDart,31446,11006,1017
232,2024-12-14,Pune,Ahmedabad,Pune-Ahmedabad,1641,26,Road,SpiceJetCargo,85332,29866,1796
233,2024-08-14,Kolkata,Hyderabad,Kolkata-Hyderabad,985,27,Rail,VRLLogistics,39892,9973,3121
234,2025-07-12,Chennai,Pune,Chennai-Pune,438,26,Road,VRLLogistics,22776,7971,702
235,2024-07-14,Kolkata,Pune,Kolkata-Pune,1542,19,Rail,DHL,43947,10986,3001
236,2024-07-28,Chennai,Pune,Chennai-Pune,2040,15,Rail,IndianRail,45900,11475,1199
237,2025-04-07,Mumbai,Ahmedabad,Mumbai-Ahmedabad,332,15,Rail,BlueDart,7470,1867,222
238,2025-03-02,Kolkata,Mumbai,Kolkata-Mumbai,759,20,Air,IndigoCargo,60720,27324,1896
239,2024-10-18,Mumbai,Bangalore,Mumbai-Bangalore,2398,14,Rail,SpiceJetCargo,50358,12589,2887
240,2024-11-21,Hyderabad,Mumbai,Hyderabad-Mumbai,1927,25,Rail,SpiceJetCargo,72262,18065,4681
241,2024-10-10,Pune,Hyderabad,Pune-Hyderabad,1035,25,Road,DHL,51750,18112,2852
242,2024-09-22,Pune,Kolkata,Pune-Kolkata,891,27,Air,IndianRail,96228,43302,4801
243,2025-07-19,Chennai,Hyderabad,Chennai-Hyderabad,864,15,Air,SpiceJetCargo,51840,23328,2047
244,2024-07-24,Hyderabad,Kolkata,Hyderabad-Kolkata,1781,23,Air,DHL,163852,73733,9173
245,2024-05-31,Pune,Bangalore,Pune-Bangalore,646,5,Rail,IndianRail,4845,1211,119
246,2024-09-26,Bangalore,Mumbai,Bangalore-Mumbai,1950,30,Rail,IndigoCargo,87750,21937,3031
