ShipmentID,ShipDate,Origin,Destination,Route,Distance_km,Weight_tons,Mode,Carrier,BaseCost,FuelCost,OtherCost,TotalCost,Cost_per_TonKm,Fuel_Percentage,FuelPrice,New_Fuel_Cost,Scenario1_TotalCost,Scenario3_TotalCost,Scenario4_TotalCost,Ton_Km,CPTK_Original,CPTK_Scenario1,CPTK_Scenario3,CPTK_Scenario4
940,2024-01-06,Hyderabad,Kolkata,Hyderabad-Kolkata,1197,5,Rail,IndianRail,8977,2244,687,11908,1.989640768588137,18.844474302989585,96.03,2468.4,12132.4,12132.4,9231.67,5985,1.989640768588137,2.0271345029239765,2.0271345029239765,1.5424678362573099
3268,2024-01-06,Delhi,Hyderabad,Delhi-Hyderabad,1172,25,Air,DHL,117200,52740,8780,178720,6.099658703071673,29.50984780662489,96.03,58014.00000000001,183994.0,178474.18,59253.06399999999,29300,6.099658703071673,6.279658703071672,6.091268941979522,2.0222888737201363
703,2024-01-06,Bangalore,Kolkata,Bangalore-Kolkata,1136,7,Road,IndianRail,15904,5566,654,22124,2.7821931589537225,25.158199240643647,96.03,6122.6,22680.6,22680.6,14405.829999999998,7952,2.7821931589537225,2.8521881287726356,2.8521881287726356,1.8115983400402411
878,2024-01-06,Delhi,Hyderabad,Delhi-Hyderabad,1029,17,Air,IndigoCargo,69972,31487,2371,103830,5.935517063968445,30.325532119811232,96.03,34635.700000000004,106978.70000000001,103769.339,36841.6117,17493,5.935517063968445,6.1155147773395075,5.9320493340193226,2.1060773852398103
1086,2024-01-06,Ahmedabad,Chennai,Ahmedabad-Chennai,1491,15,Road,DHL,44730,15655,1395,61780,2.7623518891124523,25.33991583036582,96.03,17220.5,63345.5,63345.5,24250.71,22365,2.7623518891124523,2.832349653476414,2.832349653476414,1.0843152246814218
2826,2024-01-06,Ahmedabad,Chennai,Ahmedabad-Chennai,445,18,Air,IndigoCargo,32040,14418,2358,48816,6.09438202247191,29.535398230088493,96.03,15859.800000000001,50257.8,48750.066,19872.0798,8010,6.09438202247191,6.274382022471911,6.086150561797752,2.480908838951311
841,2024-01-06,Bangalore,Pune,Bangalore-Pune,2446,21,Road,IndigoCargo,102732,35956,4220,142908,2.7821516178016585,25.16024295350855,96.03,39551.600000000006,146503.6,146503.6,53348.09,51366,2.7821516178016585,2.8521512284390456,2.8521512284390456,1.0385875871198846
1059,2024-01-07,Chennai,Delhi,Chennai-Delhi,672,26,Rail,DHL,26208,6552,1548,34308,1.963598901098901,19.097586568730325,96.03,7207.200000000001,34963.2,34963.2,17133.01,17472,1.963598901098901,2.001098901098901,2.001098901098901,0.9805980998168498
689,2024-01-07,Ahmedabad,Kolkata,Ahmedabad-Kolkata,875,16,Rail,IndigoCargo,21000,5250,1245,27495,1.9639285714285717,19.094380796508457,96.03,5775.000000000001,28020.0,28020.0,14069.98,14000,1.9639285714285715,2.0014285714285713,2.0014285714285713,1.0049985714285714
4480,2024-01-07,Delhi,Chennai,Delhi-Chennai,1192,30,Road,BlueDart,71520,25032,2345,98897,2.765576062639821,25.3111823412237,96.03,27535.2,101400.2,101400.2,36611.07,35760,2.765576062639821,2.835576062639821,2.835576062639821,1.0237994966442954
2714,2024-01-07,Kolkata,Delhi,Kolkata-Delhi,1196,16,Rail,DHL,28704,7176,1704,37584,1.964046822742475,19.09323116219668,96.03,7893.6,38301.6,38301.6,19326.42,19136,1.964046822742475,2.001546822742475,2.001546822742475,1.0099508779264212
4455,2024-01-07,Hyderabad,Pune,Hyderabad-Pune,1742,16,Rail,DHL,41808,10452,1356,53616,1.923650975889782,19.49418084153984,96.03,11497.2,54661.2,54661.2,21590.749999999996,27872,1.923650975889782,1.9611509758897818,1.9611509758897818,0.7746394230769229
97,2024-01-07,Hyderabad,Chennai,Hyderabad-Chennai,1983,7,Rail,BlueDart,20821,5205,794,26820,1.932137454073914,19.407158836689035,96.03,5725.500000000001,27340.5,27340.5,14374.82,13881,1.932137454073914,1.9696347525394424,1.9696347525394424,1.0355752467401484
4100,2024-01-07,Kolkata,Chennai,Kolkata-Chennai,2239,26,Road,SpiceJetCargo,116428,40749,7213,164390,2.823891160202013,24.788004136504654,96.03,44823.9,168464.9,168464.9,57165.81,58214,2.823891160202013,2.8938897859621395,2.8938897859621395,0.9819941938365341
347,2024-01-07,Bangalore,Delhi,Bangalore-Delhi,936,6,Rail,SpiceJetCargo,8424,2106,588,11118,1.9797008547008548,18.942255801403128,96.03,2316.6000000000004,11328.6,11328.6,8787.18,5616,1.9797008547008548,2.017200854700855,2.017200854700855,1.5646688034188034
2819,2024-01-08,Bangalore,Ahmedabad,Bangalore-Ahmedabad,698,24,Road,SpiceJetCargo,33504,11726,748,45978,2.744627507163324,25.50350167471399,97.78,12898.6,47150.6,47150.6,20845.089999999997,16752,2.7446275071633237,2.8146251193887295,2.8146251193887295,1.2443344078319005
4045,2024-01-08,Chennai,Mumbai,Chennai-Mumbai,1621,29,Air,IndianRail,188036,84616,5123,277775,5.908974877151183,30.462064620646206,97.78,93077.6,286236.6,277649.502,88514.75059999998,47009,5.908974877151183,6.088974451700738,5.906305218149716,1.8829320045097744
75,2024-01-08,Delhi,Pune,Delhi-Pune,1152,28,Air,VRLLogistics,129024,58060,6096,193180,5.9889632936507935,30.054871104669225,97.78,63866.00000000001,198986.0,193016.41999999998,64281.64599999999,32256,5.9889632936507935,6.168960813492063,5.983891989087301,1.9928585689484124
4106,2024-01-08,Hyderabad,Kolkata,Hyderabad-Kolkata,2028,25,Rail,BlueDart,76050,19012,3562,98624,1.9452465483234715,19.277255029201815,97.78,20913.2,100525.2,100525.2,35749.509999999995,50700,1.9452465483234713,1.9827455621301775,1.9827455621301775,0.705118540433925
2414,2024-01-08,Bangalore,Kolkata,Bangalore-Kolkata,1803,15,Air,DHL,108180,48681,3949,160810,5.9460158994268815,30.272371121198933,97.78,53549.100000000006,165678.1,160707.757,55813.977100000004,27045,5.9460158994268815,6.126015899426881,5.942235422444075,2.0637447624329823
251,2024-01-08,Kolkata,Bangalore,Kolkata-Bangalore,2487,9,Rail,IndigoCargo,33574,8393,1170,43137,1.927221552070768,19.45661497090665,97.78,9232.300000000001,43976.3,43976.3,20754.99,22383,1.927221552070768,1.9647187597730422,1.9647187597730422,0.9272657820667471
4916,2024-01-08,Bangalore,Mumbai,Bangalore-Mumbai,1339,5,Air,IndianRail,26780,12051,1566,40397,6.033905899925317,29.831423125479617,97.78,13256.1,41602.1,40354.037,19026.271099999998,6695,6.033905899925317,6.213905899925317,6.027488722927558,2.8418627483196413
369,2024-01-08,Hyderabad,Ahmedabad,Hyderabad-Ahmedabad,1366,8,Road,IndianRail,21856,7649,1219,30724,2.811493411420205,24.89584689493556,97.78,8413.900000000001,31488.9,31488.9,15276.2,10928,2.811493411420205,2.8814879209370425,2.8814879209370425,1.3978953147877013
4452,2024-01-08,Kolkata,Chennai,Kolkata-Chennai,2432,12,Air,DHL,116736,52531,7451,176718,6.055304276315789,29.725890967530187,97.78,57784.100000000006,181971.1,176511.967,59579.9301,29184,6.055304276315789,6.235303591008772,6.048244483278509,2.0415272101151314
3567,2024-01-08,Pune,Hyderabad,Pune-Hyderabad,2248,9,Rail,SpiceJetCargo,30348,7587,1605,39540,1.954329774614472,19.18816388467375,97.78,8345.7,40298.7,40298.7,20155.079999999998,20232,1.954329774614472,1.991829774614472,1.991829774614472,0.9961981020166073
2764,2024-01-09,Bangalore,Kolkata,Bangalore-Kolkata,2002,23,Road,SpiceJetCargo,92092,32232,5359,129683,2.816379272901012,24.85445278101216,97.78,35455.200000000004,132906.2,132906.2,47473.51,46046,2.816379272901012,2.886378838552752,2.886378838552752,1.031001824262694
4542,2024-01-09,Kolkata,Hyderabad,Kolkata-Hyderabad,1467,14,Air,VRLLogistics,82152,36968,2877,121997,5.940062323497906,30.30238448486438,97.78,40664.8,125693.8,121922.986,43417.7158,20538,5.940062323497906,6.120060375888597,5.936458564611939,2.1140186873113254
854,2024-01-09,Chennai,Ahmedabad,Chennai-Ahmedabad,1029,16,Rail,BlueDart,24696,6174,1266,32136,1.9518950437317784,19.21209858103062,97.78,6791.400000000001,32753.4,32753.4,16186.990000000002,16464,1.9518950437317784,1.9893950437317784,1.9893950437317784,0.9831748056365405
1796,2024-01-09,Mumbai,Chennai,Mumbai-Chennai,1261,7,Rail,VRLLogistics,13240,3310,466,17016,1.9277217627733088,19.452280206864128,97.78,3641.0000000000005,17347.0,17347.0,12136.13,8827,1.9277217627733092,1.9652203466636455,1.9652203466636455,1.3748872776707828
567,2024-01-09,Hyderabad,Chennai,Hyderabad-Chennai,656,17,Rail,BlueDart,16728,4182,408,21318,1.9115853658536583,19.61722488038277,97.78,4600.200000000001,21736.2,21736.2,12693.529999999999,11152,1.9115853658536586,1.9490853658536587,1.9490853658536587,1.1382290172166427
4996,2024-01-09,Kolkata,Chennai,Kolkata-Chennai,353,15,Road,VRLLogistics,10590,3706,734,15030,2.8385269121813037,24.657351962741185,97.78,4076.6000000000004,15400.6,15400.6,11246.52,5295,2.8385269121813033,2.9085174693106706,2.9085174693106706,2.1239886685552407
2653,2024-01-09,Pune,Hyderabad,Pune-Hyderabad,1585,10,Road,SpiceJetCargo,31700,11095,1197,43992,2.7755205047318614,25.220494635388253,97.78,12204.500000000002,45101.5,45101.5,21595.92,15850,2.7755205047318614,2.8455205047318612,2.8455205047318612,1.3625186119873816
3671,2024-01-09,Hyderabad,Bangalore,Hyderabad-Bangalore,1074,7,Air,IndianRail,30072,13532,613,44217,5.881484437350359,30.603613994617454,97.78,14885.2,45570.2,44203.094,20108.048199999997,7518,5.881484437350359,6.061479116786379,5.879634743282788,2.6746539239159346
809,2024-01-09,Mumbai,Bangalore,Mumbai-Bangalore,1851,29,Rail,SpiceJetCargo,80518,20129,1656,102303,1.9058290951768848,19.675864832898352,97.78,22141.9,104315.9,104315.9,36454.96,53679,1.9058290951768848,1.94332793084819,1.94332793084819,0.6791288958438123
2673,2024-01-09,Hyderabad,Mumbai,Hyderabad-Mumbai,1442,12,Road,DHL,34608,12112,1330,48050,2.776814609338881,25.207075962539022,97.78,13323.2,49261.2,49261.2,21768.21,17304,2.776814609338881,2.846809986130374,2.846809986130374,1.2579871705963939
1487,2024-01-10,Ahmedabad,Bangalore,Ahmedabad-Bangalore,849,23,Road,DHL,39054,13668,1376,54098,2.770420443488503,25.2652593441532,97.78,15034.800000000001,55464.8,55464.8,21882.23,19527,2.770420443488503,2.8404158344855843,2.8404158344855843,1.1206140216111025
1157,2024-01-10,Bangalore,Pune,Bangalore-Pune,669,5,Air,BlueDart,13380,6021,1004,20405,6.100149476831091,29.50747365841705,97.78,6623.1,21007.1,20376.887,15510.076099999998,3345,6.100149476831091,6.280149476831091,6.091744992526158,4.636794050822122
4246,2024-01-10,Mumbai,Chennai,Mumbai-Chennai,2499,28,Rail,IndigoCargo,104958,26239,4083,135280,1.93334476647802,19.396067415730336,97.78,28862.9,137903.9,137903.9,48303.2,69972,1.9333447664780197,1.9708440519064767,1.9708440519064767,0.6903218430229234
522,2024-01-10,Ahmedabad,Delhi,Ahmedabad-Delhi,2394,6,Rail,SpiceJetCargo,21546,5386,1050,27982,1.9480646059593427,19.24808805660782,97.78,5924.6,28520.6,28520.6,16537.859999999997,14364,1.9480646059593427,1.985561125034809,1.985561125034809,1.1513408521303257
2219,2024-01-10,Delhi,Bangalore,Delhi-Bangalore,444,25,Air,BlueDart,44400,19980,1954,66334,5.976036036036036,30.12030029848946,97.78,21978.0,68332.0,66282.04,25788.902,11100,5.976036036036036,6.156036036036036,5.971354954954954,2.3233245045045043
3794,2024-01-11,Ahmedabad,Hyderabad,Ahmedabad-Hyderabad,856,28,Road,IndianRail,47936,16777,3096,67809,2.8291471962616823,24.741553481101327,97.78,18454.7,69486.7,69486.7,30546.89,23968,2.8291471962616823,2.8991446929238984,2.8991446929238984,1.2744863985313752
307,2024-01-11,Bangalore,Mumbai,Bangalore-Mumbai,802,12,Rail,DHL,14436,3609,702,18747,1.9479426433915208,19.251080172827653,97.78,3969.9000000000005,19107.9,19107.9,12652.43,9624,1.9479426433915212,1.9854426433915213,1.9854426433915213,1.3146747714048213
3832,2024-01-11,Delhi,Kolkata,Delhi-Kolkata,1449,8,Air,BlueDart,46368,20865,3671,70904,6.116632160110421,29.427112715784727,97.78,22951.500000000004,72990.5,70800.785,26664.9555,11592,6.116632160110421,6.296626984126984,6.107728174603175,2.300289466873706
1025,2024-01-11,Ahmedabad,Pune,Ahmedabad-Pune,413,25,Rail,VRLLogistics,15487,3871,483,19841,1.9216464891041165,19.51010533743259,97.78,4258.1,20228.1,20228.1,11927.5,10325,1.9216464891041163,1.959138014527845,1.959138014527845,1.1552058111380146
2275,2024-01-11,Bangalore,Pune,Bangalore-Pune,838,13,Air,IndigoCargo,43576,19609,3296,66481,6.102533504681476,29.495645372362027,97.78,21569.9,68441.9,66388.643,29313.602899999998,10894,6.102533504681476,6.2825316688085175,6.094055718744262,2.6908025426840463
1058,2024-01-11,Ahmedabad,Kolkata,Ahmedabad-Kolkata,1135,13,Air,BlueDart,59020,26559,3648,89227,6.047238224330735,29.765653894000693,97.78,29214.9,91882.9,89126.41299999999,32401.903899999994,14755,6.047238224330735,6.227238224330735,6.040421077600812,2.1959948424262956
1169,2024-01-11,Mumbai,Bangalore,Mumbai-Bangalore,462,11,Rail,SpiceJetCargo,7623,1905,185,9713,1.9112554112554112,19.61288994131576,97.78,2095.5,9903.5,9903.5,8131.24,5082,1.9112554112554112,1.9487406532861078,1.9487406532861078,1.6000078709169618
1259,2024-01-11,Mumbai,Delhi,Mumbai-Delhi,1493,13,Air,BlueDart,77636,34936,3462,116034,5.978360554381988,30.10841649861248,97.78,38429.600000000006,119527.6,115941.772,41701.961599999995,19409,5.978360554381988,6.158359523932197,5.973608738214231,2.1485888814467513
2818,2024-01-11,Kolkata,Mumbai,Kolkata-Mumbai,434,10,Air,IndianRail,17360,7812,945,26117,6.017741935483871,29.911551862771372,97.78,8593.2,26898.2,26091.254,14533.586199999998,4340,6.017741935483871,6.197741935483871,6.011809677419355,3.348752580645161
2760,2024-01-11,Chennai,Pune,Chennai-Pune,601,30,Air,IndigoCargo,72120,32454,3012,107586,5.967054908485857,30.16563493391333,97.78,35699.4,110831.4,107506.45799999998,37835.8374,18030,5.967054908485857,6.147054908485857,5.96264326123128,2.0984934775374375
3296,2024-01-11,Hyderabad,Pune,Hyderabad-Pune,2119,26,Rail,BlueDart,82641,20660,6254,109555,1.9885105456129524,18.858107799735293,97.78,22726.000000000004,111621.0,111621.0,38678.689999999995,55094,1.9885105456129524,2.0260100918430317,2.0260100918430317,0.7020490434530074
59,2024-01-11,Chennai,Delhi,Chennai-Delhi,823,16,Air,VRLLogistics,52672,23702,2739,79113,6.007973876063184,29.959677929038207,97.78,26072.2,81483.2,79038.704,30355.6612,13168,6.007973876063184,6.187970838396112,6.002331713244228,2.3052598116646417
